date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-09-08,22.5,18.7,28,0,,58,19,,1018,
2022-09-09,22.5,18,26.7,0,,59,12.6,,1017.5,
2022-09-10,23.5,19,28,0,,65,7.1,,1014.4,
2022-09-11,24.3,21,28,0,,9,10.3,,1011,
2022-09-12,21.5,19,24,0,,329,13.7,,1010.2,
2022-09-13,21,18.6,24,0.2,,5,13.8,,1012.1,
2022-09-14,21,16,25,0,,145,8.7,,1015.7,
2022-09-15,23,18.9,26.3,0,,194,11.4,,1014,
2022-09-16,25.1,22,30,0,,211,11.5,,1010.3,
2022-09-17,25.5,21.9,29,0,,213,9.7,,1006.2,
2022-09-18,23.4,21,28,4.1,,291,17.1,,1007.7,
2022-09-19,20.2,18,23.5,0,,27,20.7,,1015.1,
2022-09-20,18.8,16.8,21.3,0,,23,20.2,,1014.7,
2022-09-21,18.4,14.7,22,0,,34,17.1,,1015.5,
2022-09-22,15,13.5,18,8.3,,356,20.7,,1015.7,
2022-09-23,15.5,12,19,0.1,,34,12.4,,1018.3,
2022-09-24,16.4,11.9,20,0,,276,10.5,,1021,
2022-09-25,18.3,13,22.2,0,,90,9.2,,1020.3,
2022-09-26,19.1,13.8,24,0,,233,10.4,,1015.6,
2022-09-27,21.8,17.3,24.2,5.5,,219,13.4,,1008.4,
2022-09-28,23.1,22,25,2.9,,204,17.2,,1007.4,
2022-09-29,23.7,20.9,27.7,0,,194,9.6,,1010.5,
2022-09-30,23.8,19,30,0,,185,7.5,,1016.3,
2022-10-01,22.9,19,27,0,,206,7.4,,1019.7,
2022-10-02,22.6,19,26,6.2,,307,12.5,,1012,
2022-10-03,18.8,15,22,2,,307,12.5,,1014.3,
2022-10-04,17.8,15,21,0.2,,355,16.8,,1018,
2022-10-05,17,14,20,0,,25,17.1,,1025.9,
2022-10-06,18.3,16,21.2,0,,41,26.9,,1025.6,
2022-10-07,18.8,16,22,1.1,,22,29,,1022.1,
2022-10-08,19.2,17.9,21,0.7,,4,23.5,,1018.5,
2022-10-09,17.8,15,21,0,,308,11.3,,1019.8,
2022-10-10,17.9,13.6,23,0,,34,15.4,,1024.6,
2022-10-11,18.3,15.8,22,0,,51,23.6,,1022.2,
2022-10-12,17.7,15,20,0,,40,23.2,,1021.4,
2022-10-13,18.5,17,22,0,,37,21.7,,1021.1,
2022-10-14,17.6,15,20,2.2,,52,25.5,,1016.6,
2022-10-15,16.4,15.6,17.1,12.2,,36,24.7,,1016.1,
2022-10-16,17.1,16,19,0,,20,28.3,,1022.3,
2022-10-17,17.5,16,20,0,,24,26.4,,1028.4,
2022-10-18,17.3,16,18.1,0,,37,23.1,,1027.4,
2022-10-19,16.4,14,18,0,,22,14.6,,1018.7,
2022-10-20,14.7,11,19,0.2,,6,16,,1021.1,
2022-10-21,13.6,10,17,0,,41,18.3,,1026.7,
2022-10-22,13.3,9.2,17,0,,85,9.4,,1025.4,
2022-10-23,16.8,14.1,19,0,,221,14.4,,1022,
2022-10-24,16.3,12,20,0,,20,7.1,,1023.1,
2022-10-25,16.4,12,21,0,,59,6,,1020.1,
2022-10-26,17.2,13,22,0,,6,10.3,,1021.1,
2022-10-27,16.9,14,22,0,,42,16.7,,1026.7,
2022-10-28,16.4,14,20,0,,44,22.6,,1028.2,
2022-10-29,15.3,11.9,19,0,,46,18.5,,1025.6,
2022-10-30,14.5,11,19,0,,25,9.7,,1021.6,
2022-10-31,14.9,11,20,0,,27,8.4,,1020.7,
2022-11-01,15.3,11,20,0,,50,9.1,,1023.8,
2022-11-02,13.9,10,17.2,0,,297,7.5,,1021.6,
2022-11-03,15.7,12,21,0,,5,13.7,,1021.1,
2022-11-04,15.3,12.8,19,0,,76,9.7,,1017.7,
2022-11-05,16.9,12,24,0,,65,5.5,,1015,
2022-11-06,18.2,14,24,0,,26,12.3,,1014.7,
2022-11-07,15.9,14,17,0,,23,24.7,,1017.7,
2022-11-08,13.3,9.6,17,0,,24,14,,1021.8,
2022-11-09,13.5,10,17,0,,41,12.4,,1023.6,
2022-11-10,12.6,9,17.5,0,,51,12.5,,1025,
2022-11-11,13.3,9,17.5,0,,25,14.8,,1027.4,
2022-11-12,15.7,13.9,19,0.1,,48,25,,1027.8,
2022-11-13,15,13,18,0,,32,20.9,,1030,
2022-11-14,14.6,13,16.7,0,,34,19.4,,1025.9,
2022-11-15,13.9,12,16,0,,13,18.8,,1020.3,
2022-11-16,13.8,11,16,0,,247,15.8,,1012.4,
2022-11-17,16.5,15,18.5,16.7,,213,23.1,,1007.4,
2022-11-18,17.5,16.7,19,1.1,,205,20.7,,1008.2,
2022-11-19,18.8,17,21,0,,208,19.3,,1013.5,
2022-11-20,19.1,18,20.1,0,,201,16.6,,1016.1,
2022-11-21,18.8,15,21.5,5.3,,191,26,,1010.1,
2022-11-22,13.8,11,15.6,8.3,,202,16,,1012.6,
2022-11-23,15.9,13,19,5.3,,170,17.5,,1009.3,
2022-11-24,14,12.6,15.5,4.9,,244,11.6,,1008,
2022-11-25,11.3,10.8,12,2.2,,354,19.3,,1014.6,
2022-11-26,9.4,8,12,0,,355,15.5,,1024.1,
2022-11-27,9.4,7,12,0,,28,16,,1025.4,
2022-11-28,12,9.1,14.5,0,,42,18.2,,1019,
2022-11-29,13.1,11,15,1.4,,47,13.5,,1016.1,
2022-11-30,14,13,15,0.2,,47,22,,1017.4,
2022-12-01,13.4,12,15.2,8.1,,41,20.9,,1017.9,
2022-12-02,11,10,12.1,4.6,,346,17.4,,1021,
2022-12-03,10.6,9.9,12,0.2,,19,22.1,,1026.6,
2022-12-04,10.8,9.9,12,0,,32,20.8,,1027.6,
2022-12-05,11.8,10.8,13,0,,30,17.5,,1025.7,
2022-12-06,11.7,10,13.2,0.3,,47,14.7,,1022.3,
2022-12-07,11.3,8.8,13,0,,178,9.7,,1018.4,
2022-12-08,13,9.7,15,0,,138,7.6,,1018.8,
2022-12-09,14.7,12.6,17,0.4,,194,10.9,,1018.7,
2022-12-10,15.6,14,17,1.2,,202,18.2,,1013.5,
2022-12-11,16.5,14.9,20.2,0,,200,20.2,,1004.3,
2022-12-12,14.7,12,16,0.7,,202,17.3,,1006.5,
2022-12-13,8.6,5,15,15.8,,1,25,,1012.1,
2022-12-14,9.3,7,12,0,,49,19.6,,1015.9,
2022-12-15,13.3,7.8,17,9.5,,228,15.4,,1013.7,
2022-12-16,15.4,12,19,1.6,,191,6.2,,1019.3,
2022-12-17,15.9,14,18,0,,227,13,,1020.1,
2022-12-18,12.4,10,16,2.6,,3,22.7,,1026.8,
2022-12-19,7.5,6,9.2,2.5,,23,34.6,,1035.3,
2022-12-20,7.4,4.8,10,0,,41,26.3,,1032.4,
2022-12-21,8.8,6,11.1,0,,58,17.2,,1025,
2022-12-22,8.1,4.7,13,0,,31,7.8,,1019.6,
2022-12-23,9.6,7,12,0,,244,12.4,,1016.8,
2022-12-24,10.4,8,12.5,0,,226,12.4,,1016.7,
2022-12-25,11.1,9,13,2.5,,248,11.7,,1021.2,
2022-12-26,9.5,7,12,0,,261,8.1,,1028.5,
2022-12-27,10.9,7,13,0,,205,17.1,,1025.5,
2022-12-28,10.8,9,12.3,0.8,,17,17.7,,1028.2,
2022-12-29,9,6.8,12,0,,350,10.7,,1028,
2022-12-30,10.4,7.3,12,0,,212,11.1,,1028.2,
2022-12-31,10.4,7.2,13.2,0,,227,7,,1030.3,
2023-01-01,9.1,7,12,0,,324,4.4,,1032.1,
2023-01-02,7.9,4.6,11.1,0,,268,5.4,,1031.6,
2023-01-03,8.5,4.9,11,0,,239,12.4,,1027.8,
2023-01-04,9.5,6.6,11,0.1,,307,13.5,,1026.8,
2023-01-05,10.7,9,13,0,,303,10.3,,1022.4,
2023-01-06,11.1,10,13,0.9,,214,15.2,,1021.1,
2023-01-07,9.2,6.5,12,0,,339,5.7,,1025,
2023-01-08,8.3,4.8,12,0,,42,10.2,,1023.6,
2023-01-09,8.2,4,11,0,,88,11.2,,1021.3,
2023-01-10,11.3,9,14,0.9,,131,17.8,,1015.1,
2023-01-11,11.9,11,13,2.2,,100,10.6,,1014.8,
2023-01-12,10.4,8,14,2.9,,352,17.1,,1017.2,
2023-01-13,8.9,7.5,11,4,,0,25.2,,1019.3,
2023-01-14,10.1,9,11,0,,23,19.6,,1020.3,
2023-01-15,9.6,8,12,1.2,,32,19.5,,1020.9,
2023-01-16,8.9,6,11.2,0,,107,9.1,,1016.5,
2023-01-17,13,11,15,0,,198,22.2,,1012.2,
2023-01-18,15.1,13.8,17,0,,204,26.5,,1013.6,
2023-01-19,15.5,14,18,0,,200,20.2,,1016.9,
2023-01-20,13,8.7,18,4.1,,171,11.5,,1013.4,
2023-01-21,13.1,11,17,0,,135,11.4,,1017.6,
2023-01-22,12.4,8.9,17,0,,347,4.9,,1021.9,
2023-01-23,10.3,9.7,11.5,0,,35,24.6,,1027,
2023-01-24,8.4,6,10,0,,18,26,,1029.5,
2023-01-25,5.6,4,7,0,,5,24.6,,1028.5,
2023-01-26,8.4,5.1,11.2,0.2,,48,21.1,,1019.3,
2023-01-27,11.3,9,14,13.3,,198,16.7,,1007.9,
2023-01-28,7.4,4,11,1.2,,318,20.8,,1012,
2023-01-29,4.2,3,5.2,0,,351,18.4,,1020.4,
2023-01-30,3.7,2.8,5,0,,8,13.5,,1018.1,
2023-01-31,3.2,0.9,7,0.1,,332,10,,1013.3,
